,TITLE,YEAR,LINKS,RATING,DIRECTOR1,ACTOR_1,ACTOR_2
17,One Flew Over the Cuckoo's Nest,1975,https://www.imdb.com//title/tt0073486/,8.6,Milos Forman (dir.), Jack Nicholson, Louise Fletcher
18,Se7en,1995,https://www.imdb.com//title/tt0114369/,8.6,David Fincher (dir.), Morgan Freeman, Brad Pitt
19,Shichinin no samurai,1954,https://www.imdb.com//title/tt0047478/,8.6,Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura
20,It's a Wonderful Life,1946,https://www.imdb.com//title/tt0038650/,8.6,Frank Capra (dir.), James Stewart, Donna Reed
21,The Silence of the Lambs,1991,https://www.imdb.com//title/tt0102926/,8.6,Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins
22,Cidade de Deus,2002,https://www.imdb.com//title/tt0317248/,8.6,Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino
23,Saving Private Ryan,1998,https://www.imdb.com//title/tt0120815/,8.6,Steven Spielberg (dir.), Tom Hanks, Matt Damon
24,La vita è bella,1997,https://www.imdb.com//title/tt0118799/,8.6,Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi
25,The Green Mile,1999,https://www.imdb.com//title/tt0120689/,8.6,Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan
26,Interstellar,2014,https://www.imdb.com//title/tt0816692/,8.6,Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway
27,Star Wars,1977,https://www.imdb.com//title/tt0076759/,8.6,George Lucas (dir.), Mark Hamill, Harrison Ford
28,Terminator 2: Judgment Day,1991,https://www.imdb.com//title/tt0103064/,8.5,James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton
29,Back to the Future,1985,https://www.imdb.com//title/tt0088763/,8.5,Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd
30,Sen to Chihiro no kamikakushi,2001,https://www.imdb.com//title/tt0245429/,8.5,Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette
31,Psycho,1960,https://www.imdb.com//title/tt0054215/,8.5,Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh
32,The Pianist,2002,https://www.imdb.com//title/tt0253474/,8.5,Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann
33,Léon,1994,https://www.imdb.com//title/tt0110413/,8.5,Luc Besson (dir.), Jean Reno, Gary Oldman
34,Gisaengchung,2019,https://www.imdb.com//title/tt6751668/,8.5,Bong Joon Ho (dir.), Song Kang-ho, Sun-kyun Lee
35,The Lion King,1994,https://www.imdb.com//title/tt0110357/,8.5,Roger Allers (dir.), Matthew Broderick, Jeremy Irons
36,Gladiator,2000,https://www.imdb.com//title/tt0172495/,8.5,Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix
37,American History X,1998,https://www.imdb.com//title/tt0120586/,8.5,Tony Kaye (dir.), Edward Norton, Edward Furlong
38,The Usual Suspects,1995,https://www.imdb.com//title/tt0114814/,8.5,Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne
39,The Departed,2006,https://www.imdb.com//title/tt0407887/,8.5,Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon
40,The Prestige,2006,https://www.imdb.com//title/tt0482571/,8.5,Christopher Nolan (dir.), Christian Bale, Hugh Jackman
